"Time (s) Run #1";"Angle (rad) Run #1"
0,000;0,000
0,010;0,000
0,020;0,000
0,030;0,000
0,040;0,000
0,050;0,000
0,060;-0,002
0,070;-0,002
0,080;-0,002
0,090;-0,002
0,100;-0,002
0,110;-0,002
0,120;-0,002
0,130;-0,002
0,140;-0,003
0,150;-0,003
0,160;-0,003
0,170;-0,003
0,180;-0,003
0,190;-0,003
0,200;-0,003
0,210;-0,003
0,220;-0,003
0,230;-0,003
0,240;-0,003
0,250;-0,003
0,260;-0,003
0,270;-0,003
0,280;-0,003
0,290;-0,003
0,300;-0,003
0,310;-0,003
0,320;-0,003
0,330;-0,003
0,340;-0,003
0,350;-0,003
0,360;-0,003
0,370;-0,003
0,380;-0,003
0,390;-0,003
0,400;-0,003
0,410;-0,003
0,420;-0,003
0,430;-0,003
0,440;-0,003
0,450;-0,002
0,460;-0,002
0,470;-0,002
0,480;-0,002
0,490;-0,002
0,500;-0,002
0,510;-0,002
0,520;-0,002
0,530;-0,002
0,540;0,000
0,550;0,000
0,560;0,000
0,570;0,000
0,580;0,000
0,590;0,000
0,600;0,000
0,610;0,000
0,620;0,000
0,630;0,000
0,640;0,002
0,650;0,002
0,660;0,002
0,670;0,002
0,680;0,002
0,690;0,002
0,700;0,002
0,710;0,002
0,720;0,002
0,730;0,002
0,740;0,002
0,750;0,002
0,760;0,002
0,770;0,002
0,780;0,002
0,790;0,002
0,800;0,002
0,810;0,002
0,820;0,000
0,830;0,000
0,840;0,000
0,850;0,000
0,860;0,000
0,870;0,000
0,880;0,000
0,890;0,000
0,900;0,000
0,910;0,000
0,920;-0,002
0,930;-0,002
0,940;-0,002
0,950;-0,002
0,960;-0,002
0,970;-0,002
0,980;-0,002
0,990;-0,002
1,000;-0,002
1,010;-0,003
1,020;-0,003
1,030;-0,003
1,040;-0,003
1,050;-0,003
1,060;-0,003
1,070;-0,003
1,080;-0,003
1,090;-0,003
1,100;-0,003
1,110;-0,003
1,120;-0,003
1,130;-0,003
1,140;-0,003
1,150;-0,003
1,160;-0,003
1,170;-0,003
1,180;-0,003
1,190;-0,003
1,200;-0,003
1,210;-0,003
1,220;-0,003
1,230;-0,003
1,240;-0,003
1,250;-0,003
1,260;-0,003
1,270;-0,003
1,280;-0,003
1,290;-0,003
1,300;-0,003
1,310;-0,002
1,320;-0,002
1,330;-0,002
1,340;-0,002
1,350;-0,002
1,360;-0,002
1,370;-0,002
1,380;-0,002
1,390;-0,002
1,400;-0,002
1,410;0,000
1,420;0,000
1,430;0,000
1,440;0,000
1,450;0,000
1,460;0,000
1,470;0,000
1,480;0,000
1,490;0,000
1,500;0,000
1,510;0,000
1,520;0,000
1,530;0,000
1,540;0,002
1,550;0,002
1,560;0,002
1,570;0,002
1,580;0,002
1,590;0,002
1,600;0,002
1,610;0,002
1,620;0,002
1,630;0,002
1,640;0,002
1,650;0,000
1,660;0,000
1,670;0,000
1,680;0,000
1,690;0,002
1,700;0,003
1,710;0,008
1,720;0,013
1,730;0,019
1,740;0,027
1,750;0,036
1,760;0,047
1,770;0,058
1,780;0,072
1,790;0,086
1,800;0,102
1,810;0,121
1,820;0,141
1,830;0,167
1,840;0,192
1,850;0,221
1,860;0,253
1,870;0,286
1,880;0,320
1,890;0,353
1,900;0,388
1,910;0,418
1,920;0,448
1,930;0,474
1,940;0,498
1,950;0,520
1,960;0,540
1,970;0,556
1,980;0,570
1,990;0,583
2,000;0,591
2,010;0,597
2,020;0,598
2,030;0,598
2,040;0,597
2,050;0,591
2,060;0,581
2,070;0,570
2,080;0,556
2,090;0,539
2,100;0,520
2,110;0,498
2,120;0,473
2,130;0,446
2,140;0,416
2,150;0,385
2,160;0,352
2,170;0,317
2,180;0,281
2,190;0,243
2,200;0,204
2,210;0,163
2,220;0,123
2,230;0,082
2,240;0,039
2,250;-0,003
2,260;-0,046
2,270;-0,086
2,280;-0,129
2,290;-0,170
2,300;-0,209
2,310;-0,248
2,320;-0,286
2,330;-0,322
2,340;-0,357
2,350;-0,390
2,360;-0,421
2,370;-0,449
2,380;-0,476
2,390;-0,501
2,400;-0,523
2,410;-0,542
2,420;-0,559
2,430;-0,573
2,440;-0,584
2,450;-0,592
2,460;-0,598
2,470;-0,602
2,480;-0,602
2,490;-0,598
2,500;-0,592
2,510;-0,583
2,520;-0,572
2,530;-0,558
2,540;-0,540
2,550;-0,520
2,560;-0,498
2,570;-0,474
2,580;-0,448
2,590;-0,418
2,600;-0,386
2,610;-0,353
2,620;-0,319
2,630;-0,283
2,640;-0,245
2,650;-0,206
2,660;-0,165
2,670;-0,124
2,680;-0,083
2,690;-0,041
2,700;0,002
2,710;0,044
2,720;0,085
2,730;0,126
2,740;0,167
2,750;0,207
2,760;0,247
2,770;0,284
2,780;0,319
2,790;0,353
2,800;0,386
2,810;0,418
2,820;0,446
2,830;0,473
2,840;0,498
2,850;0,518
2,860;0,539
2,870;0,554
2,880;0,569
2,890;0,580
2,900;0,587
2,910;0,594
2,920;0,597
2,930;0,597
2,940;0,594
2,950;0,587
2,960;0,578
2,970;0,567
2,980;0,553
2,990;0,536
3,000;0,515
3,010;0,493
3,020;0,468
3,030;0,441
3,040;0,413
3,050;0,382
3,060;0,349
3,070;0,314
3,080;0,278
3,090;0,240
3,100;0,201
3,110;0,162
3,120;0,121
3,130;0,079
3,140;0,038
3,150;-0,005
3,160;-0,047
3,170;-0,088
3,180;-0,130
3,190;-0,171
3,200;-0,210
3,210;-0,250
3,220;-0,286
3,230;-0,322
3,240;-0,357
3,250;-0,390
3,260;-0,421
3,270;-0,449
3,280;-0,476
3,290;-0,500
3,300;-0,522
3,310;-0,540
3,320;-0,556
3,330;-0,570
3,340;-0,581
3,350;-0,589
3,360;-0,595
3,370;-0,598
3,380;-0,597
3,390;-0,594
3,400;-0,587
3,410;-0,580
3,420;-0,567
3,430;-0,553
3,440;-0,536
3,450;-0,517
3,460;-0,495
3,470;-0,470
3,480;-0,443
3,490;-0,413
3,500;-0,382
3,510;-0,349
3,520;-0,314
3,530;-0,278
3,540;-0,240
3,550;-0,201
3,560;-0,162
3,570;-0,121
3,580;-0,080
3,590;-0,038
3,600;0,005
3,610;0,046
3,620;0,088
3,630;0,129
3,640;0,170
3,650;0,209
3,660;0,247
3,670;0,284
3,680;0,320
3,690;0,355
3,700;0,386
3,710;0,418
3,720;0,446
3,730;0,473
3,740;0,496
3,750;0,518
3,760;0,537
3,770;0,553
3,780;0,567
3,790;0,578
3,800;0,586
3,810;0,591
3,820;0,594
3,830;0,592
3,840;0,589
3,850;0,583
3,860;0,575
3,870;0,562
3,880;0,548
3,890;0,531
3,900;0,511
3,910;0,489
3,920;0,465
3,930;0,437
3,940;0,408
3,950;0,377
3,960;0,344
3,970;0,309
3,980;0,273
3,990;0,236
4,000;0,196
4,010;0,157
4,020;0,116
4,030;0,075
4,040;0,033
4,050;-0,008
4,060;-0,050
4,070;-0,091
4,080;-0,132
4,090;-0,173
4,100;-0,212
4,110;-0,251
4,120;-0,287
4,130;-0,324
4,140;-0,358
4,150;-0,390
4,160;-0,421
4,170;-0,449
4,180;-0,474
4,190;-0,500
4,200;-0,520
4,210;-0,539
4,220;-0,554
4,230;-0,569
4,240;-0,580
4,250;-0,587
4,260;-0,592
4,270;-0,595
4,280;-0,594
4,290;-0,591
4,300;-0,584
4,310;-0,575
4,320;-0,564
4,330;-0,548
4,340;-0,531
4,350;-0,512
4,360;-0,490
4,370;-0,465
4,380;-0,438
4,390;-0,408
4,400;-0,377
4,410;-0,344
4,420;-0,309
4,430;-0,273
4,440;-0,236
4,450;-0,196
4,460;-0,157
4,470;-0,116
4,480;-0,075
4,490;-0,035
4,500;0,008
4,510;0,050
4,520;0,091
4,530;0,132
4,540;0,171
4,550;0,212
4,560;0,250
4,570;0,286
4,580;0,322
4,590;0,357
4,600;0,388
4,610;0,418
4,620;0,446
4,630;0,473
4,640;0,496
4,650;0,517
4,660;0,536
4,670;0,551
4,680;0,565
4,690;0,575
4,700;0,583
4,710;0,587
4,720;0,591
4,730;0,589
4,740;0,586
4,750;0,580
4,760;0,570
4,770;0,558
4,780;0,543
4,790;0,526
4,800;0,506
4,810;0,484
4,820;0,459
4,830;0,432
4,840;0,404
4,850;0,372
4,860;0,339
4,870;0,305
4,880;0,269
4,890;0,231
4,900;0,192
4,910;0,152
4,920;0,112
4,930;0,071
4,940;0,028
4,950;-0,013
4,960;-0,053
4,970;-0,096
4,980;-0,137
4,990;-0,176
5,000;-0,215
5,010;-0,253
5,020;-0,291
5,030;-0,325
5,040;-0,360
5,050;-0,391
5,060;-0,421
5,070;-0,449
5,080;-0,474
5,090;-0,498
5,100;-0,520
5,110;-0,537
5,120;-0,554
5,130;-0,567
5,140;-0,576
5,150;-0,584
5,160;-0,589
5,170;-0,592
5,180;-0,591
5,190;-0,587
5,200;-0,581
5,210;-0,572
5,220;-0,559
5,230;-0,543
5,240;-0,526
5,250;-0,507
5,260;-0,484
5,270;-0,459
5,280;-0,432
5,290;-0,404
5,300;-0,372
5,310;-0,339
5,320;-0,305
5,330;-0,267
5,340;-0,231
5,350;-0,192
5,360;-0,152
5,370;-0,112
5,380;-0,071
5,390;-0,028
5,400;0,013
5,410;0,053
5,420;0,096
5,430;0,135
5,440;0,176
5,450;0,215
5,460;0,253
5,470;0,289
5,480;0,324
5,490;0,358
5,500;0,390
5,510;0,419
5,520;0,448
5,530;0,473
5,540;0,496
5,550;0,517
5,560;0,534
5,570;0,550
5,580;0,564
5,590;0,573
5,600;0,581
5,610;0,586
5,620;0,587
5,630;0,586
5,640;0,583
5,650;0,575
5,660;0,565
5,670;0,554
5,680;0,539
5,690;0,522
5,700;0,501
5,710;0,479
5,720;0,454
5,730;0,427
5,740;0,397
5,750;0,366
5,760;0,333
5,770;0,298
5,780;0,262
5,790;0,225
5,800;0,185
5,810;0,146
5,820;0,105
5,830;0,064
5,840;0,024
5,850;-0,017
5,860;-0,060
5,870;-0,101
5,880;-0,140
5,890;-0,181
5,900;-0,218
5,910;-0,258
5,920;-0,294
5,930;-0,328
5,940;-0,361
5,950;-0,393
5,960;-0,423
5,970;-0,451
5,980;-0,476
5,990;-0,498
6,000;-0,520
6,010;-0,537
6,020;-0,553
6,030;-0,565
6,040;-0,575
6,050;-0,583
6,060;-0,587
6,070;-0,589
6,080;-0,587
6,090;-0,583
6,100;-0,576
6,110;-0,567
6,120;-0,554
6,130;-0,539
6,140;-0,522
6,150;-0,501
6,160;-0,479
6,170;-0,454
6,180;-0,426
6,190;-0,397
6,200;-0,366
6,210;-0,333
6,220;-0,298
6,230;-0,261
6,240;-0,225
6,250;-0,185
6,260;-0,146
6,270;-0,105
6,280;-0,064
6,290;-0,024
6,300;0,017
6,310;0,060
6,320;0,101
6,330;0,140
6,340;0,181
6,350;0,218
6,360;0,256
6,370;0,292
6,380;0,327
6,390;0,360
6,400;0,391
6,410;0,421
6,420;0,448
6,430;0,473
6,440;0,496
6,450;0,517
6,460;0,534
6,470;0,550
6,480;0,562
6,490;0,572
6,500;0,578
6,510;0,583
6,520;0,584
6,530;0,583
6,540;0,578
6,550;0,572
6,560;0,561
6,570;0,548
6,580;0,534
6,590;0,515
6,600;0,495
6,610;0,473
6,620;0,448
6,630;0,421
6,640;0,391
6,650;0,360
6,660;0,327
6,670;0,292
6,680;0,256
6,690;0,218
6,700;0,179
6,710;0,140
6,720;0,099
6,730;0,058
6,740;0,017
6,750;-0,024
6,760;-0,064
6,770;-0,105
6,780;-0,146
6,790;-0,185
6,800;-0,223
6,810;-0,261
6,820;-0,297
6,830;-0,331
6,840;-0,364
6,850;-0,396
6,860;-0,424
6,870;-0,452
6,880;-0,478
6,890;-0,500
6,900;-0,520
6,910;-0,537
6,920;-0,551
6,930;-0,564
6,940;-0,573
6,950;-0,580
6,960;-0,584
6,970;-0,586
6,980;-0,584
6,990;-0,580
7,000;-0,572
7,010;-0,562
7,020;-0,550
7,030;-0,534
7,040;-0,515
7,050;-0,495
7,060;-0,473
7,070;-0,448
7,080;-0,419
7,090;-0,390
7,100;-0,358
7,110;-0,325
7,120;-0,291
7,130;-0,254
7,140;-0,217
7,150;-0,178
7,160;-0,138
7,170;-0,099
7,180;-0,058
7,190;-0,017
7,200;0,024
7,210;0,064
7,220;0,105
7,230;0,146
7,240;0,185
7,250;0,223
7,260;0,261
7,270;0,297
7,280;0,331
7,290;0,363
7,300;0,394
7,310;0,423
7,320;0,449
7,330;0,474
7,340;0,496
7,350;0,517
7,360;0,534
7,370;0,548
7,380;0,561
7,390;0,570
7,400;0,576
7,410;0,580
7,420;0,581
7,430;0,580
7,440;0,575
7,450;0,567
7,460;0,556
7,470;0,543
7,480;0,528
7,490;0,511
7,500;0,490
7,510;0,467
7,520;0,441
7,530;0,413
7,540;0,383
7,550;0,352
7,560;0,319
7,570;0,284
7,580;0,248
7,590;0,210
7,600;0,171
7,610;0,132
7,620;0,093
7,630;0,052
7,640;0,011
7,650;-0,030
7,660;-0,071
7,670;-0,112
7,680;-0,151
7,690;-0,190
7,700;-0,229
7,710;-0,265
7,720;-0,302
7,730;-0,336
7,740;-0,368
7,750;-0,399
7,760;-0,427
7,770;-0,454
7,780;-0,478
7,790;-0,500
7,800;-0,520
7,810;-0,537
7,820;-0,551
7,830;-0,562
7,840;-0,572
7,850;-0,578
7,860;-0,581
7,870;-0,583
7,880;-0,580
7,890;-0,575
7,900;-0,567
7,910;-0,558
7,920;-0,543
7,930;-0,528
7,940;-0,511
7,950;-0,489
7,960;-0,467
7,970;-0,440
7,980;-0,413
7,990;-0,383
8,000;-0,352
8,010;-0,317
8,020;-0,283
8,030;-0,247
8,040;-0,209
8,050;-0,171
8,060;-0,130
8,070;-0,091
8,080;-0,050
8,090;-0,009
8,100;0,031
8,110;0,072
8,120;0,112
8,130;0,152
8,140;0,192
8,150;0,229
8,160;0,265
8,170;0,302
8,180;0,335
8,190;0,368
8,200;0,397
8,210;0,426
8,220;0,452
8,230;0,476
8,240;0,498
8,250;0,517
8,260;0,534
8,270;0,548
8,280;0,559
8,290;0,569
8,300;0,575
8,310;0,578
8,320;0,578
8,330;0,575
8,340;0,570
8,350;0,562
8,360;0,551
8,370;0,539
8,380;0,523
8,390;0,504
8,400;0,482
8,410;0,460
8,420;0,434
8,430;0,407
8,440;0,377
8,450;0,344
8,460;0,311
8,470;0,276
8,480;0,240
8,490;0,203
8,500;0,163
8,510;0,124
8,520;0,085
8,530;0,044
8,540;0,003
8,550;-0,038
8,560;-0,079
8,570;-0,118
8,580;-0,157
8,590;-0,196
8,600;-0,234
8,610;-0,270
8,620;-0,306
8,630;-0,339
8,640;-0,372
8,650;-0,402
8,660;-0,430
8,670;-0,456
8,680;-0,481
8,690;-0,501
8,700;-0,520
8,710;-0,537
8,720;-0,551
8,730;-0,562
8,740;-0,570
8,750;-0,576
8,760;-0,580
8,770;-0,580
8,780;-0,576
8,790;-0,572
8,800;-0,562
8,810;-0,551
8,820;-0,539
8,830;-0,522
8,840;-0,503
8,850;-0,482
8,860;-0,459
8,870;-0,434
8,880;-0,405
8,890;-0,375
8,900;-0,342
8,910;-0,309
8,920;-0,275
8,930;-0,239
8,940;-0,201
8,950;-0,162
8,960;-0,123
8,970;-0,083
8,980;-0,042
8,990;-0,002
9,000;0,039
9,010;0,080
9,020;0,119
9,030;0,159
9,040;0,198
9,050;0,236
9,060;0,272
9,070;0,306
9,080;0,339
9,090;0,371
9,100;0,401
9,110;0,429
9,120;0,454
9,130;0,478
9,140;0,500
9,150;0,518
9,160;0,534
9,170;0,548
9,180;0,559
9,190;0,567
9,200;0,572
9,210;0,575
9,220;0,575
9,230;0,572
9,240;0,565
9,250;0,558
9,260;0,547
9,270;0,533
9,280;0,517
9,290;0,498
9,300;0,476
9,310;0,452
9,320;0,426
9,330;0,397
9,340;0,368
9,350;0,336
9,360;0,303
9,370;0,267
9,380;0,231
9,390;0,193
9,400;0,156
9,410;0,116
9,420;0,075
9,430;0,035
9,440;-0,005
9,450;-0,046
9,460;-0,086
9,470;-0,126
9,480;-0,165
9,490;-0,203
9,500;-0,240
9,510;-0,276
9,520;-0,311
9,530;-0,346
9,540;-0,377
9,550;-0,405
9,560;-0,434
9,570;-0,459
9,580;-0,482
9,590;-0,503
9,600;-0,522
9,610;-0,537
9,620;-0,550
9,630;-0,561
9,640;-0,569
9,650;-0,573
9,660;-0,576
9,670;-0,576
9,680;-0,573
9,690;-0,567
9,700;-0,558
9,710;-0,547
9,720;-0,533
9,730;-0,515
9,740;-0,496
9,750;-0,474
9,760;-0,451
9,770;-0,424
9,780;-0,397
9,790;-0,366
9,800;-0,335
9,810;-0,300
9,820;-0,265
9,830;-0,229
9,840;-0,192
9,850;-0,152
9,860;-0,113
9,870;-0,074
9,880;-0,033
9,890;0,008
9,900;0,047
9,910;0,088
9,920;0,127
9,930;0,167
9,940;0,204
9,950;0,242
9,960;0,278
9,970;0,313
9,980;0,346
9,990;0,375
10,000;0,405
10,010;0,432
10,020;0,457
10,030;0,481
10,040;0,501
10,050;0,518
10,060;0,534
10,070;0,547
10,080;0,558
10,090;0,565
10,100;0,570
10,110;0,572
10,120;0,572
10,130;0,567
